职位,薪资,城市,地区,垃圾数据,公司,公司规模,招聘者,工作年限,学历
产品经理（硬件方向）,22.5,深圳,南山区,南头3-5年本科,步步高教育电子,智能硬件不需要融资1000-9999人,车先生人力资源专员,3-5,本科
支付产品经理,35.0,深圳,宝安区,宝安中心3-5年本科,vivo,移动互联网不需要融资10000人以上,唐女士HR招聘,3-5,本科
设备产品经理,12.0,深圳,宝安区,福永5-10年大专,中明科技,其他行业未融资100-499人,贝女士招聘专员,5-10,大专
产品经理,10.5,深圳,南山区,蛇口1-3年本科,游禧科技,游戏不需要融资100-499人,杨女士招聘HR,1-3,本科
产品经理,15.5,深圳,南山区,科技园3-5年本科,和而泰,互联网未融资1000-9999人,小女士招聘经理,3-5,本科
产品经理,20.0,深圳,南山区,科技园1-3年本科,深圳来电科技有限公司,移动互联网不需要融资1000-9999人,沈女士HRM,1-3,本科
产品开发,6.5,深圳,龙华区,民治1-3年大专,深圳市利朗达,电子商务B轮1000-9999人,卢女士招聘专员,1-3,大专
PCG-高级数据产品经理,37.5,深圳,南山区,南头5-10年本科,腾讯,互联网已上市10000人以上,招聘经理,5-10,本科
产品经理,12.0,深圳,深圳市,3-5年大专,深圳克莱沃,通信/网络设备不需要融资100-499人,唐女士人力资源专员,3-5,大专
高级产品运营经理,32.5,深圳,南山区,深圳湾5-10年本科,OPPO,互联网不需要融资10000人以上,张先生招聘者,5-10,本科
DevOps产品经理,30.0,深圳,南山区,南油3-5年本科,OPPO,互联网不需要融资10000人以上,张先生架构师,3-5,本科
产品经理,16.0,深圳,福田区,新洲1-3年本科,私募排排网,互联网金融不需要融资100-499人,赵先生招聘主管,1-3,本科
产品经理讲师,40.0,深圳,南山区,西丽10年以上本科,纵纬,互联网未融资0-20人,洪女士招聘者,,本科
产品专员,5.5,深圳,宝安区,石岩经验不限学历不限,本道服饰,批发/零售100-499人,杨女士人事专员,经验不限,不限
产品运营,27.5,深圳,南山区,科技园3-5年本科,腾讯,互联网已上市10000人以上,余先生招聘者,3-5,本科
产品开发,7.0,深圳,龙岗区,坂田经验不限大专,智汇创想,互联网未融资500-999人,刘女士招聘专员,经验不限,大专
产品经理,20.0,深圳,宝安区,新安3-5年本科,单车侠之家,移动互联网未融资100-499人,吉先生总经理助理,3-5,本科
产品运维经理,10.5,深圳,南山区,科技园1-3年本科,Bitpower,计算机服务A轮20-99人,宁女士行政综合部主管,1-3,本科
产品商务,17.5,深圳,南山区,科技园1-3年本科,慧狮,法律B轮20-99人,庞先生HR,1-3,本科
3C产品经理,10.0,深圳,龙岗区,坂田3-5年大专,弗洛米,电子商务未融资100-499人,徐女士招聘者,3-5,大专
产品运营（编外）,10.0,深圳,龙岗区,坂田3-5年大专,华为,计算机软件不需要融资10000人以上,但女士助理文员,3-5,大专
产品经理,17.0,深圳,南山区,科技园3-5年本科,美约秀,生活服务B轮20-99人,聂女士HR,3-5,本科
数通产品经理,10.5,深圳,南山区,西丽1-3年本科,天贝物联,通信/网络设备不需要融资100-499人,彭先生人力资源,1-3,本科
产品总监,40.0,深圳,南山区,科技园5-10年本科,万兴科技,计算机软件已上市500-999人,符女士HR,5-10,本科
产品经理,7.5,深圳,龙岗区,大运1-3年本科,科飞时速,互联网A轮20-99人,徐先生招聘者,1-3,本科
产品经理,16.0,深圳,南山区,科技园3-5年本科,nubia,通信/网络设备不需要融资1000-9999人,林女士招聘主管,3-5,本科
产品专员,13.5,深圳,龙岗区,坂田1-3年本科,腾跃,电子商务未融资100-499人,王先生HR,1-3,本科
产品/项目工程师,8.0,深圳,龙华区,龙华1-3年本科,华创恒达,贸易/进出口未融资100-499人,翟女士HR,1-3,本科
后端产品经理,18.0,深圳,福田区,上梅林3-5年本科,货拉拉科技,互联网D轮及以上1000-9999人,刘女士hr,3-5,本科
硬件产品经理,23.5,深圳,南山区,科技园5-10年本科,深圳云天励飞,移动互联网B轮500-999人,宋女士招聘经理,5-10,本科
产品专员,6.5,深圳,龙岗区,坂田1-3年本科,店小秘,电子商务A轮20-99人,余女士HR,1-3,本科,
产品主管,7.5,深圳,罗湖区,莲塘1-3年大专,Suning,批发/零售已上市10000人以上,欧先生HRBP,1-3,大专
高级广告产品经理,50.0,深圳,南山区,深圳湾3-5年本科,OPPO,互联网不需要融资10000人以上,李女士招聘者,3-5,本科
产品经理,20.0,深圳,南山区,科技园3-5年本科,今日资讯,咨询未融资20-99人,谢女士人事经理,3-5,本科
产品助理,7.5,深圳,南山区,科技园1-3年本科,Raykite,互联网不需要融资100-499人,刘女士行政人事经理,1-3,本科
产品设计师,8.5,深圳,龙岗区,康桥3-5年本科,华雅诗,音乐/视频/阅读不需要融资20-99人,张先生总经理,3-5,本科
产品经理,16.0,深圳,南山区,科技园3-5年大专,华众时代,移动互联网A轮20-99人,肖女士hr,3-5,大专
产品经理,37.5,深圳,南山区,蛇口经验不限本科,无秘,移动互联网B轮100-499人,HR,经验不限,本科
产品测试工程师,12.5,深圳,南山区,科技园经验不限本科,TP-LINK,通信/网络设备不需要融资1000-9999人,李女士招聘专员,经验不限,本科
高级产品经理,12.5,深圳,福田区,沙头3-5年本科,新大陆软件,计算机软件不需要融资1000-9999人,吴女士招聘者,3-5,本科
产品经理,22.5,深圳,南山区,科技园3-5年本科,随手科技,互联网C轮1000-9999人,朱先生HRBP,3-5,本科
产品经理,15.0,深圳,南山区,科技园3-5年本科,魅动力,互联网未融资100-499人,刘女士HRBP,3-5,本科
产品专员,6.0,深圳,宝安区,福永1-3年大专,深圳福泽成科技,电子商务未融资100-499人,杨女士招聘专员,1-3,大专
数据产品经理,30.0,深圳,福田区,梅林3-5年本科,vivo,移动互联网不需要融资10000人以上,刘先生大数据专家,3-5,本科
高级产品经理（WMS）,25.0,深圳,南山区,南山中心3-5年本科,环球易购,电子商务已上市1000-9999人,龚女士招聘经理,3-5,本科
卡牛产品经理助理,10.0,深圳,南山区,科技园经验不限本科,随手科技,互联网C轮1000-9999人,黎先生HRBP,经验不限,本科
产品策划经理（深圳）,37.5,深圳,南山区,科技园3-5年本科,腾讯,互联网已上市10000人以上,周女士招聘经理,3-5,本科
数据产品经理,22.5,深圳,南山区,科技园3-5年本科,威富通,移动互联网已上市500-999人,刘女士招聘经理(Hrbp),3-5,本科
产品经理,17.5,深圳,南山区,科技园3-5年本科,美约秀,生活服务B轮20-99人,倪女士招聘者,3-5,本科
产品助理,5.0,深圳,龙华区,民治1年以内大专,南芯微,智能硬件不需要融资0-20人,朱女士主管,1年以内,大专
微视数据产品经理,40.0,深圳,南山区,科技园5-10年本科,腾讯,互联网已上市10000人以上,张女士HR,5-10,本科
产品经理,14.0,深圳,南山区,西丽3-5年本科,好实再,电子商务未融资100-499人,李先生人力资源经理,3-5,本科
产品主管,10.5,深圳,南山区,科技园1-3年本科,里德海司,电子商务20-99人,叶女士人事专员,1-3,本科
高级产品经理-消费金融,32.5,深圳,南山区,深圳湾5-10年本科,OPPO,互联网不需要融资10000人以上,张先生招聘者,5-10,本科
